lizard,veg,temp,site,visit
0,0.656,-0.097,141,1
3,0.122,-0.268,142,1
4,-0.736,0.99,143,1
7,-0.134,0.896,144,1
6,0.266,0.767,145,1
6,-0.631,0.83,146,1
0,0.161,-0.233,147,1
1,-0.874,0.544,148,1
0,-0.244,-0.846,149,1
0,-0.057,-0.29,150,1
0,0.92,0.18,151,1
5,-0.04,-0.031,152,1
1,0.367,0.341,153,1
0,-0.25,-0.885,154,1
2,0.522,0.082,155,1
4,-0.861,0.503,156,1
6,-0.898,0.895,157,1
3,0.871,0.947,158,1
3,-0.524,0.792,159,1
1,-0.613,-0.585,160,1
1,-0.287,0.03,161,1
0,0.222,-0.319,162,1
8,-0.703,0.889,163,1
2,0.141,0.517,164,1
0,0.718,-0.24,165,1
0,0.722,-0.468,166,1
3,0.388,0.238,167,1
6,0.09,0.629,168,1
3,-0.526,0.097,169,1
8,-0.466,0.295,170,1
2,-0.805,-0.288,171,1
0,0.414,-0.648,172,1
1,0.408,-0.436,173,1
2,-0.791,0.31,174,1
0,0.936,0.01,175,1
0,0.951,0.44,176,1
2,-0.47,0.808,177,1
1,0.044,-0.354,178,1
3,0.538,0.963,179,1
3,0.271,0.403,180,1
5,0.156,0.748,181,1
0,0.709,0.133,182,1
0,0.73,0.277,183,1
0,0.331,0.753,184,1
6,-0.46,-0.163,185,1
7,0.14,0.639,186,1
2,0.724,0.15,187,1
0,0.123,-0.889,188,1
1,0.003,-0.511,189,1
1,0.964,0.592,190,1
2,0.288,0.046,191,1
5,-0.912,0.467,192,1
5,-0.625,0.931,193,1
5,-0.456,0.747,194,1
4,-0.042,0.983,195,1
6,0.324,0.514,196,1
3,-0.389,0.327,197,1
4,-0.847,0.491,198,1
4,0.305,0.903,199,1
0,0.705,-0.142,200,1
1,0.874,0.024,1,2
1,0.499,-0.716,2,2
5,0.273,0.708,3,2
0,0.639,-0.955,4,2
4,0.72,0.79,5,2
1,0.402,0.189,6,2
1,0.081,-0.548,7,2
3,-0.655,0.065,8,2
1,-0.228,-0.399,9,2
5,-0.502,0.551,10,2
2,-0.752,0.009,11,2
1,0,0.191,12,2
0,0.652,0.478,13,2
4,-0.257,0.128,14,2
4,0.041,0.284,15,2
4,-0.818,-0.82,16,2
5,-0.179,0.358,17,2
1,-0.89,-0.536,18,2
3,-0.647,-0.761,19,2
2,-0.375,-0.4,20,2
3,0.906,0.798,21,2
0,0.456,-0.781,22,2
2,0.054,-0.473,23,2
6,0.223,0.741,24,2
0,-0.084,-0.657,25,2
2,0.401,0.331,26,2
3,-0.677,0.767,27,2
3,-0.623,-0.016,28,2
1,-0.215,-0.472,29,2
2,0.811,0.713,30,2
2,0.947,0.723,31,2
0,0.569,-0.492,32,2
1,0.968,0.304,33,2
3,-0.23,0.534,34,2
0,-0.831,-0.149,35,2
0,0.021,-0.76,36,2
0,-0.046,-0.689,37,2
1,-0.53,0.767,38,2
0,-0.663,-0.283,39,2
3,-0.267,-0.146,40,2
2,-0.402,0.59,41,2
1,-0.672,0.03,42,2
3,-0.391,0.082,43,2
2,0.67,0.724,44,2
1,-0.692,-0.167,45,2
0,0.505,-0.823,46,2
1,-0.68,-0.369,47,2
1,-0.271,-0.502,48,2
2,-0.694,0.426,49,2
5,-0.094,0.825,50,2
0,0.501,-0.662,51,2
0,0.329,-0.88,52,2
8,0.246,0.832,53,2
4,0.033,0.97,54,2
0,0.544,-0.23,55,2
0,-0.308,-0.757,56,2
0,-0.555,-0.624,57,2
1,0.924,0.6,58,2
7,-0.978,0.748,59,2
1,-0.311,0.273,60,2
1,-0.984,-0.23,61,2
0,0.402,-0.975,62,2
0,0.04,-0.813,63,2
2,-0.849,0.699,64,2
0,0.326,-0.598,65,2
6,0.023,0.473,66,2
3,-0.039,0.678,67,2
0,0.164,-0.752,68,2
0,0.779,0.131,69,2
1,0.307,-0.316,70,2
5,0.38,0.657,71,2
1,0.142,-0.499,72,2
2,-0.077,0.28,73,2
2,-0.228,0.566,74,2
1,-0.152,-0.422,75,2
0,-0.07,-0.636,76,2
4,-0.004,0.399,77,2
0,0.614,-0.625,78,2
2,0.824,0.662,79,2
3,-0.73,-0.527,80,2
4,-0.794,0.027,81,2
3,-0.139,-0.366,82,2
0,-0.161,-0.934,83,2
3,-0.756,0.158,84,2
5,-0.707,0.7,85,2
1,-0.762,0.681,86,2
4,0.43,0.999,87,2
1,-0.806,0.077,88,2
1,0.909,-0.166,89,2
0,0.401,0.171,90,2
3,0.404,0.11,91,2
1,-0.641,-0.569,92,2
3,-0.229,0.247,93,2
1,-0.206,-0.791,94,2
1,0.826,0.963,95,2
1,0.754,0.388,96,2
3,0.181,0.367,97,2
5,-0.565,0.821,98,2
2,-0.308,0.567,99,2
2,0.201,0.317,100,2
2,-0.28,0.293,101,2
3,-0.559,0.299,102,2
4,-0.736,0.157,103,2
1,-0.387,-0.62,104,2
0,-0.997,-0.843,105,2
0,0.761,-0.406,106,2
2,-0.856,0.46,107,2
3,0.285,0.585,108,2
5,-0.835,-0.097,109,2
2,0.677,0.941,110,2
2,-0.923,0.223,111,2
3,-0.105,0.071,112,2
0,0.945,-0.233,113,2
0,0.36,0.574,114,2
4,-0.955,0.586,115,2
3,-0.537,-0.683,116,2
3,-0.226,-0.448,117,2
0,0.315,-0.287,118,2
4,0.162,0.255,119,2
3,-0.892,0.216,120,2
1,0.058,-0.475,121,2
1,0.983,0.093,122,2
2,-0.971,0.404,123,2
3,0.523,0.651,124,2
1,0.201,-0.1,125,2
2,-0.61,-0.12,126,2
2,0.092,0.816,127,2
1,-0.187,-0.076,128,2
2,-0.181,0.275,129,2
0,0.251,-0.142,130,2
1,0.013,-0.303,131,2
2,-0.795,-0.353,132,2
3,-0.749,-0.487,133,2
3,-0.629,0.972,134,2
5,-0.228,0.967,135,2
2,-0.749,-0.132,136,2
0,0.344,-0.908,137,2
4,0.469,0.717,138,2
0,0.946,-0.451,139,2
2,0.515,0.348,140,2
1,0.656,0.559,141,2
1,0.122,0.365,142,2
2,-0.736,-0.852,143,2
0,-0.134,-0.902,144,2
0,0.266,-0.609,145,2
2,-0.631,-0.76,146,2
3,0.161,0.026,147,2
1,-0.874,-0.502,148,2
8,-0.244,0.563,149,2
2,-0.057,-0.348,150,2
0,0.92,0.318,151,2
1,-0.04,-0.617,152,2
3,0.367,0.536,153,2
5,-0.25,0.404,154,2
1,0.522,-0.439,155,2
1,-0.861,-0.694,156,2
6,-0.898,0.886,157,2
0,0.871,0.379,158,2
1,-0.524,-0.072,159,2
2,-0.613,0.68,160,2
6,-0.287,0.592,161,2
3,0.222,0.738,162,2
7,-0.703,0.392,163,2
2,0.141,0.349,164,2
1,0.718,0.293,165,2
0,0.722,-0.791,166,2
1,0.388,-0.944,167,2
5,0.09,0.632,168,2
3,-0.526,0.207,169,2
9,-0.466,0.298,170,2
4,-0.805,0.932,171,2
0,0.414,-0.691,172,2
1,0.408,0.336,173,2
2,-0.791,0.654,174,2
1,0.936,0.904,175,2
1,0.951,0.464,176,2
1,-0.47,-0.87,177,2
0,0.044,-0.288,178,2
1,0.538,0.292,179,2
0,0.271,-0.364,180,2
6,0.156,0.61,181,2
0,0.709,-0.451,182,2
0,0.73,-0.512,183,2
2,0.331,0.597,184,2
5,-0.46,0.524,185,2
0,0.14,-0.997,186,2
0,0.724,-0.654,187,2
2,0.123,0.306,188,2
2,0.003,0.155,189,2
0,0.964,-0.823,190,2
0,0.288,-0.939,191,2
5,-0.912,0.964,192,2
4,-0.625,-0.009,193,2
3,-0.456,-0.012,194,2
2,-0.042,0.59,195,2
0,0.324,-0.318,196,2
5,-0.389,0.641,197,2
5,-0.847,0.771,198,2
3,0.305,0.934,199,2
0,0.705,-0.086,200,2
0,0.874,-0.023,1,3
0,0.499,-0.518,2,3
1,0.273,0.167,3,3
0,0.639,-0.574,4,3
1,0.72,0.24,5,3
4,0.402,0.843,6,3
4,0.081,0.832,7,3
2,-0.655,0.481,8,3
2,-0.228,-0.462,9,3
5,-0.502,0.601,10,3
3,-0.752,0.794,11,3
3,0,0.201,12,3
0,0.652,-0.35,13,3
6,-0.257,0.912,14,3
7,0.041,0.863,15,3
5,-0.818,0.8,16,3
3,-0.179,-0.37,17,3
2,-0.89,-0.103,18,3
6,-0.647,-0.255,19,3
2,-0.375,-0.179,20,3
0,0.906,0.056,21,3
1,0.456,0.712,22,3
7,0.054,0.831,23,3
2,0.223,0.821,24,3
7,-0.084,0.451,25,3
0,0.401,-0.962,26,3
0,-0.677,-0.639,27,3
2,-0.623,-0.321,28,3
3,-0.215,-0.344,29,3
0,0.811,-0.397,30,3
1,0.947,-0.478,31,3
2,0.569,0.312,32,3
0,0.968,-0.362,33,3
0,-0.23,-0.485,34,3
2,-0.831,-0.503,35,3
1,0.021,-0.56,36,3
0,-0.046,-0.287,37,3
0,-0.53,-0.373,38,3
0,-0.663,-0.293,39,3
2,-0.267,0.554,40,3
0,-0.402,-0.949,41,3
4,-0.672,0.757,42,3
2,-0.391,0.315,43,3
0,0.67,-0.122,44,3
2,-0.692,0.313,45,3
2,0.505,0.129,46,3
1,-0.68,-0.522,47,3
4,-0.271,0.705,48,3
3,-0.694,0.337,49,3
3,-0.094,-0.513,50,3
0,0.501,0.304,51,3
4,0.329,0.754,52,3
1,0.246,0.234,53,3
4,0.033,0.623,54,3
0,0.544,-0.593,55,3
4,-0.308,-0.11,56,3
0,-0.555,-0.894,57,3
0,0.924,-0.999,58,3
6,-0.978,0.24,59,3
0,-0.311,-0.817,60,3
1,-0.984,0.273,61,3
10,0.402,0.958,62,3
0,0.04,-0.264,63,3
2,-0.849,0.191,64,3
4,0.326,0.739,65,3
5,0.023,0.653,66,3
6,-0.039,0.686,67,3
0,0.164,-0.572,68,3
0,0.779,0.429,69,3
1,0.307,0.612,70,3
3,0.38,0.176,71,3
2,0.142,0.403,72,3
8,-0.077,0.619,73,3
0,-0.228,-0.469,74,3
0,-0.152,0.024,75,3
5,-0.07,0.463,76,3
2,-0.004,-0.682,77,3
3,0.614,0.89,78,3
0,0.824,-0.003,79,3
5,-0.73,0.487,80,3
2,-0.794,-0.827,81,3
4,-0.139,0.384,82,3
3,-0.161,-0.81,83,3
4,-0.756,0.628,84,3
5,-0.707,0.592,85,3
1,-0.762,-0.341,86,3
2,0.43,0.449,87,3
1,-0.806,0.881,88,3
2,0.909,0.356,89,3
2,0.401,0.035,90,3
2,0.404,0.779,91,3
1,-0.641,-0.96,92,3
5,-0.229,0.165,93,3
0,-0.206,-0.525,94,3
0,0.826,-0.271,95,3
0,0.754,-0.821,96,3
1,0.181,0.577,97,3
5,-0.565,0.843,98,3
2,-0.308,0.669,99,3
5,0.201,-0.217,100,3
2,-0.28,0.152,101,3
1,-0.559,-0.807,102,3
2,-0.736,-0.712,103,3
0,-0.387,0.128,104,3
0,-0.997,0.931,105,3
0,0.761,-0.427,106,3
1,-0.856,0.38,107,3
0,0.285,-0.905,108,3
5,-0.835,0.476,109,3
1,0.677,0.262,110,3
1,-0.923,-0.769,111,3
4,-0.105,0.343,112,3
0,0.945,-0.554,113,3
2,0.36,0.588,114,3
3,-0.955,-0.408,115,3
6,-0.537,-0.24,116,3
1,-0.226,-0.553,117,3
1,0.315,0.412,118,3
0,0.162,-0.888,119,3
1,-0.892,-0.561,120,3
6,0.058,0.908,121,3
0,0.983,-0.581,122,3
2,-0.971,-0.209,123,3
0,0.523,-0.603,124,3
0,0.201,0.722,125,3
1,-0.61,0.085,126,3
0,0.092,0.462,127,3
0,-0.187,-0.774,128,3
1,-0.181,-0.019,129,3
5,0.251,0.521,130,3
0,0.013,-0.884,131,3
4,-0.795,0.558,132,3
4,-0.749,0.226,133,3
3,-0.629,0.999,134,3
2,-0.228,-0.322,135,3
5,-0.749,0.778,136,3
0,0.344,-0.187,137,3
2,0.469,0.608,138,3
1,0.946,-0.478,139,3
3,0.515,0.544,140,3
1,0.656,-0.71,141,3
1,0.122,-0.895,142,3
3,-0.736,-0.133,143,3
1,-0.134,-0.749,144,3
6,0.266,0.836,145,3
4,-0.631,-0.246,146,3
5,0.161,0.476,147,3
1,-0.874,-0.158,148,3
5,-0.244,0.554,149,3
1,-0.057,0.256,150,3
0,0.92,-0.21,151,3
3,-0.04,0.309,152,3
2,0.367,0.437,153,3
4,-0.25,0.472,154,3
0,0.522,-0.464,155,3
4,-0.861,0.288,156,3
5,-0.898,-0.145,157,3
0,0.871,-0.494,158,3
1,-0.524,-0.248,159,3
2,-0.613,0.824,160,3
2,-0.287,-0.037,161,3
5,0.222,-0.047,162,3
7,-0.703,0.887,163,3
0,0.141,-0.702,164,3
0,0.718,-0.228,165,3
0,0.722,-0.901,166,3
0,0.388,-0.848,167,3
0,0.09,-0.751,168,3
2,-0.526,0.656,169,3
10,-0.466,0.875,170,3
3,-0.805,0.601,171,3
1,0.414,-0.057,172,3
0,0.408,-0.778,173,3
1,-0.791,0.412,174,3
0,0.936,0.344,175,3
0,0.951,0.192,176,3
3,-0.47,-0.159,177,3
0,0.044,-0.33,178,3
0,0.538,0.394,179,3
2,0.271,0.109,180,3
5,0.156,0.371,181,3
1,0.709,-0.607,182,3
4,0.73,0.65,183,3
2,0.331,0.251,184,3
2,-0.46,-0.273,185,3
1,0.14,-0.959,186,3
1,0.724,-0.302,187,3
4,0.123,0.514,188,3
3,0.003,-0.467,189,3
1,0.964,0.686,190,3
0,0.288,0.64,191,3
2,-0.912,-0.705,192,3
5,-0.625,0.96,193,3
4,-0.456,0.139,194,3
4,-0.042,0.703,195,3
5,0.324,0.496,196,3
2,-0.389,-0.436,197,3
5,-0.847,0.36,198,3
0,0.305,-0.275,199,3
1,0.705,-0.178,200,3
